Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
23.06.2023;1133,54;1141,07;1141,49;1133,2;;-0,71%
22.06.2023;1141,67;1148,39;1154,85;1136,03;;-0,88%
21.06.2023;1151,83;1163,19;1168,53;1151,81;;-0,80%
20.06.2023;1161,07;1172,1;1172,1;1145,78;;-1,09%
16.06.2023;1173,9;1180,09;1199,71;1173,9;;-0,39%
15.06.2023;1178,54;1179,66;1181,98;1175,95;;0,02%
14.06.2023;1178,28;1185,05;1186,77;1177,46;;-0,60%
13.06.2023;1185,36;1182,18;1189,85;1175,9;;0,12%
09.06.2023;1183,97;1190,86;1190,86;1177,82;;-0,57%
08.06.2023;1190,76;1200,5;1200,61;1186,9;;-0,74%
07.06.2023;1199,68;1194,4;1201,77;1190,78;;0,49%
06.06.2023;1193,83;1151,31;1193,83;1148,38;;3,66%
05.06.2023;1151,72;1151,53;1159,77;1146,17;;0,33%
02.06.2023;1147,97;1120,77;1148,23;1120,77;;2,69%
01.06.2023;1117,93;1099,03;1121,57;1098,95;;1,72%
31.05.2023;1099,03;1089,72;1099,51;1088,66;;0,58%
30.05.2023;1092,64;1102,28;1103,47;1085,14;;-0,80%
29.05.2023;1101,47;1100,94;1108,04;1098,21;;0,05%
26.05.2023;1100,97;1098,93;1104,45;1093,79;;0,22%
25.05.2023;1098,6;1107,9;1108,91;1091,36;;-1,09%
24.05.2023;1110,71;1121,83;1124,48;1108,14;;-1,06%
23.05.2023;1122,65;1124,47;1134,07;1122,65;;-0,11%
19.05.2023;1123,9;1137,74;1144,2;1123,9;;-1,13%
18.05.2023;1136,76;1127,65;1136,76;1120,31;;0,22%
17.05.2023;1134,23;1140,5;1145,95;1134,23;;-0,30%
16.05.2023;1137,65;1148,15;1153,48;1137,65;;-0,91%
15.05.2023;1148,13;1159,36;1163,17;1148,13;;-0,95%
12.05.2023;1159,12;1150,46;1159,12;1141,19;;1,37%
11.05.2023;1143,42;1161,04;1168,96;1143,42;;-1,44%
10.05.2023;1160,15;1160,59;1161,53;1156,97;;0,05%
09.05.2023;1159,53;1157,47;1163,22;1153,92;;0,18%
08.05.2023;1157,44;1166,62;1169,3;1155,87;;-0,58%
05.05.2023;1164,18;1163,47;1180,69;1162,83;;0,48%
04.05.2023;1158,6;1153,2;1161,19;1149,62;;-0,01%
03.05.2023;1158,68;1157,58;1169,16;1154,54;;0,06%
02.05.2023;1157,99;1194,34;1194,34;1157,99;;-3,41%
28.04.2023;1198,81;1161,28;1198,81;1157,74;;2,68%
27.04.2023;1167,51;1181,98;1181,98;1153,65;;-1,53%
26.04.2023;1185,6;1196,68;1201,35;1182,78;;-1,01%
25.04.2023;1197,65;1223,03;1224,3;1184,83;;-2,25%
24.04.2023;1225,26;1216,1;1226,66;1216,1;;0,77%
21.04.2023;1215,94;1233,39;1233,39;1211,74;;-2,32%
20.04.2023;1244,77;1246,55;1247,56;1236,53;;-0,26%
19.04.2023;1247,97;1255;1256,05;1244;;-0,57%
18.04.2023;1255,16;1258,38;1263,18;1246,84;;-0,17%
17.04.2023;1257,24;1253,77;1264,18;1246,62;;0,32%
14.04.2023;1253,29;1239,97;1253,29;1235,89;;1,05%
13.04.2023;1240,27;1232,2;1240,27;1229,04;;0,65%
12.04.2023;1232,2;1221,75;1233,41;1221,75;;0,88%
11.04.2023;1221,42;1200,38;1221,42;1195,06;;1,76%
10.04.2023;1200,34;1193,75;1200,34;1187,93;;0,57%
05.04.2023;1193,57;1178,92;1193,57;1168,42;;1,28%
04.04.2023;1178,51;1185,07;1191,86;1178,02;;-0,40%
03.04.2023;1183,2;1168,31;1183,2;1163,39;;2,21%
31.03.2023;1157,59;1149,53;1161,5;1149,53;;0,98%
30.03.2023;1146,36;1121;1146,36;1121;;2,39%
29.03.2023;1119,62;1116,69;1127,48;1116,69;;0,20%
28.03.2023;1117,41;1115,52;1122,09;1111,21;;-0,07%
27.03.2023;1118,2;1108,11;1120,39;1104,95;;1,08%
24.03.2023;1106,24;1095,95;1106,24;1084,58;;0,85%
23.03.2023;1096,92;1121,76;1125,65;1094,58;;-2,17%
22.03.2023;1121,24;1126,65;1139,33;1117,36;;-0,74%
21.03.2023;1129,63;1110,72;1135,37;1110,72;;1,73%
17.03.2023;1110,39;1116,78;1122,49;1105,98;;-0,72%
16.03.2023;1118,43;1117,89;1139,22;1104,46;;0,60%
15.03.2023;1111,75;1150,03;1150,03;1107,77;;-3,84%
14.03.2023;1156,17;1154,07;1171,7;1153,13;;0,18%
13.03.2023;1154,07;1186,06;1186,06;1154,07;;-2,80%
10.03.2023;1187,27;1211,9;1211,9;1186,8;;-1,93%
09.03.2023;1210,68;1241,63;1244,96;1210,68;;-2,48%
08.03.2023;1241,44;1238,93;1244,36;1235,7;;0,38%
07.03.2023;1236,75;1233,16;1241,33;1232,4;;0,09%
06.03.2023;1235,67;1215,69;1235,67;1215,69;;1,74%
03.03.2023;1214,55;1187,47;1219,37;1187,06;;2,14%
02.03.2023;1189,09;1201,16;1209,79;1189,09;;-0,82%
01.03.2023;1198,89;1191,79;1208,64;1187,19;;0,95%
